Bedrooms,Bathrooms,Floor_num,Floor_area,Price
3,4,3,1960,39000000
3,3,1,1705,16900000
3,3,6,1370,12500000
3,3,4,2125,20000000
3,3,4,2687,47500000
3,3,3,1150,8800000
3,3,8,2119,19000000
4,4,2,2318,23000000
3,3,8,1397,8000000
3,3,1,2400,20000000
3,3,3,1300,8000000
3,3,4,1300,8000000
3,3,6,1300,8000000
3,3,1,1900,21000000
3,3,5,1500,11000000
3,3,3,1450,9500000
2,2,2,750,6200000
3,3,4,2343,22000000
3,3,5,1185,11000000
3,3,4,1610,13100000
4,4,7,2180,17500000
4,4,2,3650,78000000
,,9,5000,110000000
3,3,3,2700,55000000
3,2,2,1175,8300000
2,2,1,650,3100000
3,4,1,1331,16000000
2,2,4,900,4500000
3,3,2,1350,14200000
3,3,5,1200,7500000
3,3,1,2045,23625000
3,3,1,1500,25000000
3,3,4,1410,13800000
2,2,5,650,4000000
3,3,8,1100,4700000
3,2,2,1220,5000000
3,3,5,1240,7320000
3,3,5,1700,6500000
3,3,1,1400,8500000
3,3,1,1050,4700000
,,6,16000,120000000
3,3,8,1240,8700000
3,3,1,1504,7100000
2,2,5,750,4000000
2,2,7,750,3500000
,,,1980,18000000
3,5,2,1585,14000000
3,3,8,1485,13200000
3,3,5,1545,14000000
3,3,6,1050,8200000
16,10,,5600,32500000
2,2,5,900,4100000
3,3,3,1340,6200000
3,3,7,1400,11500000
3,3,3,1275,8000000
,,3,1245,15500000
2,2,5,1050,4800000
2,2,5,850,5500000
3,4,2,1440,7300000
2,3,5,948,7000000
4,4,5,2644,35000000
2,2,6,800,6950000
4,4,5,2000,22000000
3,3,4,1593,21500000
3,2,6,1220,5000000
2,2,1,1040,6500000
3,3,4,1620,16500000
3,3,4,1550,14500000
2,2,5,1000,5500000
,,3,1840,46000000
2,2,2,740,4000000
3,3,6,1250,7800000
3,3,5,1430,12000000
3,3,1,1690,14800000
3,3,1,1330,7900000
3,3,2,1230,7400000
3,3,7,1700,17000000
3,3,6,1300,8000000
3,2,6,1175,6300000
3,3,6,1265,8500000
3,2,7,1000,5700000
3,3,1,1554,11500000
3,3,8,1570,5600000
3,2,5,1050,4500000
2,2,6,815,4200000
4,5,7,2553,38000000
3,3,6,1590,11200000
4,4,4,2000,21500000
2,2,4,800,8600000
3,4,3,1960,39000000
3,3,1,1705,16900000
3,3,6,1370,12500000
3,3,4,2125,20000000
3,3,4,2687,47500000
3,3,3,1150,8800000
3,3,8,2119,19000000
4,4,2,2318,23000000
3,3,8,1397,8000000
3,3,1,2400,20000000
3,3,3,1300,8000000
3,3,4,1300,8000000
3,3,6,1300,8000000
3,3,1,1900,21000000
3,3,5,1500,11000000
3,3,3,1450,9500000
2,2,2,750,6200000
